name,head_position,facial_expression,eye_state,resolution
an2i,left,angry,open,1.0
an2i,left,angry,open,2
an2i,left,angry,open,4
an2i,left,angry,sunglasses,1
an2i,left,angry,sunglasses,2
an2i,left,angry,sunglasses,4
an2i,left,happy,open,1
an2i,left,happy,open,2
an2i,left,happy,open,4
an2i,left,happy,sunglasses,1
an2i,left,happy,sunglasses,2
an2i,left,happy,sunglasses,4
an2i,left,neutral,open,1
an2i,left,neutral,open,2
an2i,left,neutral,open,4
an2i,left,neutral,sunglasses,1
an2i,left,neutral,sunglasses,2
an2i,left,neutral,sunglasses,4
an2i,left,sad,open,1
an2i,left,sad,open,2
an2i,left,sad,open,4
an2i,left,sad,sunglasses,1
an2i,left,sad,sunglasses,2
an2i,left,sad,sunglasses,4
an2i,right,angry,open,1
an2i,right,angry,open,2
an2i,right,angry,open,4
an2i,right,angry,sunglasses,1
an2i,right,angry,sunglasses,2
an2i,right,angry,sunglasses,4
an2i,right,happy,open,1
an2i,right,happy,open,2
an2i,right,happy,open,4
an2i,right,happy,sunglasses,1
an2i,right,happy,sunglasses,2
an2i,right,happy,sunglasses,4
an2i,right,neutral,open,1
an2i,right,neutral,open,2
an2i,right,neutral,open,4
an2i,right,neutral,sunglasses,1
an2i,right,neutral,sunglasses,2
an2i,right,neutral,sunglasses,4
an2i,right,sad,open,1
an2i,right,sad,open,2
an2i,right,sad,open,4
an2i,right,sad,sunglasses,1
an2i,right,sad,sunglasses,2
an2i,right,sad,sunglasses,4
an2i,straight,angry,open,1
an2i,straight,angry,open,2
an2i,straight,angry,open,4
an2i,straight,angry,sunglasses,1
an2i,straight,angry,sunglasses,2
an2i,straight,angry,sunglasses,4
an2i,straight,happy,open,1
an2i,straight,happy,open,2
an2i,straight,happy,open,4
an2i,straight,happy,sunglasses,1
an2i,straight,happy,sunglasses,2
an2i,straight,happy,sunglasses,4
an2i,straight,neutral,open,1
an2i,straight,neutral,open,2
an2i,straight,neutral,open,4
an2i,straight,neutral,sunglasses,1
an2i,straight,neutral,sunglasses,2
an2i,straight,neutral,sunglasses,4
an2i,straight,sad,open,1
an2i,straight,sad,open,2
an2i,straight,sad,open,4
an2i,straight,sad,sunglasses,1
an2i,straight,sad,sunglasses,2
an2i,straight,sad,sunglasses,4
an2i,up,angry,open,1
an2i,up,angry,open,2
an2i,up,angry,open,4
an2i,up,angry,sunglasses,1
an2i,up,angry,sunglasses,2
an2i,up,angry,sunglasses,4
an2i,up,happy,open,1
an2i,up,happy,open,2
an2i,up,happy,open,4
an2i,up,happy,sunglasses,1
an2i,up,happy,sunglasses,2
an2i,up,happy,sunglasses,4
an2i,up,neutral,open,1
an2i,up,neutral,open,2
an2i,up,neutral,open,4
an2i,up,neutral,sunglasses,1
an2i,up,neutral,sunglasses,2
an2i,up,neutral,sunglasses,4
an2i,up,sad,open,1
an2i,up,sad,open,2
an2i,up,sad,open,4
an2i,up,sad,sunglasses,1
an2i,up,sad,sunglasses,2
an2i,up,sad,sunglasses,4
at33,left,angry,open,1
at33,left,angry,open,2
at33,left,angry,open,4
at33,left,angry,sunglasses,1
at33,left,angry,sunglasses,2
at33,left,angry,sunglasses,4
at33,left,happy,open,1
at33,left,happy,open,2
at33,left,happy,open,4
at33,left,happy,sunglasses,1
at33,left,happy,sunglasses,2
at33,left,happy,sunglasses,4
at33,left,neutral,open,1
at33,left,neutral,open,2
at33,left,neutral,open,4
at33,left,neutral,sunglasses,1
at33,left,neutral,sunglasses,2
at33,left,neutral,sunglasses,4
at33,left,sad,open,1
at33,left,sad,open,2
at33,left,sad,open,4
at33,left,sad,sunglasses,1
at33,left,sad,sunglasses,2
at33,left,sad,sunglasses,4
at33,right,angry,open,1
at33,right,angry,open,2
at33,right,angry,open,4
at33,right,angry,sunglasses,1
at33,right,angry,sunglasses,2
at33,right,angry,sunglasses,4
at33,right,happy,open,1
at33,right,happy,open,2
at33,right,happy,open,4
at33,right,happy,sunglasses,1
at33,right,happy,sunglasses,2
at33,right,happy,sunglasses,4
at33,right,neutral,open,1
at33,right,neutral,open,2
at33,right,neutral,open,4
at33,right,neutral,sunglasses,1
at33,right,neutral,sunglasses,2
at33,right,neutral,sunglasses,4
at33,right,sad,open,1
at33,right,sad,open,2
at33,right,sad,open,4
at33,right,sad,sunglasses,1
at33,right,sad,sunglasses,2
at33,right,sad,sunglasses,4
at33,straight,angry,open,1
at33,straight,angry,open,2
at33,straight,angry,open,4
at33,straight,angry,sunglasses,1
at33,straight,angry,sunglasses,2
at33,straight,angry,sunglasses,4
at33,straight,happy,open,1
at33,straight,happy,open,2
at33,straight,happy,open,4
at33,straight,happy,sunglasses,1
at33,straight,happy,sunglasses,2
at33,straight,happy,sunglasses,4
at33,straight,neutral,open,1
at33,straight,neutral,open,2
at33,straight,neutral,open,4
at33,straight,neutral,sunglasses,1
at33,straight,neutral,sunglasses,2
at33,straight,neutral,sunglasses,4
at33,straight,sad,open,1
at33,straight,sad,open,2
at33,straight,sad,open,4
at33,straight,sad,sunglasses,1
at33,straight,sad,sunglasses,2
at33,straight,sad,sunglasses,4
at33,up,angry,open,1
at33,up,angry,open,2
at33,up,angry,open,4
at33,up,angry,sunglasses,1
at33,up,angry,sunglasses,2
at33,up,angry,sunglasses,4
at33,up,happy,open,1
at33,up,happy,open,2
at33,up,happy,open,4
at33,up,happy,sunglasses,1
at33,up,happy,sunglasses,2
at33,up,happy,sunglasses,4
at33,up,neutral,open,1
at33,up,neutral,open,2
at33,up,neutral,open,4
at33,up,neutral,sunglasses,1
at33,up,neutral,sunglasses,2
at33,up,neutral,sunglasses,4
at33,up,sad,open,1
at33,up,sad,open,2
at33,up,sad,open,4
at33,up,sad,sunglasses,1
at33,up,sad,sunglasses,2
at33,up,sad,sunglasses,4
boland,left,angry,open,1
boland,left,angry,open,2
boland,left,angry,open,4
boland,left,angry,sunglasses,1
boland,left,angry,sunglasses,2
boland,left,angry,sunglasses,4
boland,left,happy,open,1
boland,left,happy,open,2
