name,head_position,facial_expression,eye_state
an2i,straight,angry,open
an2i,straight,angry,sunglasses
an2i,straight,happy,open
an2i,straight,happy,sunglasses
an2i,straight,neutral,open
an2i,straight,neutral,sunglasses
an2i,straight,sad,open
an2i,straight,sad,sunglasses
an2i,up,angry,open
an2i,up,happy,open
an2i,up,happy,sunglasses
an2i,up,neutral,open
an2i,up,neutral,sunglasses
at33,straight,angry,open
at33,straight,angry,sunglasses
at33,straight,happy,open
at33,straight,happy,sunglasses
at33,straight,neutral,open
at33,straight,neutral,sunglasses
at33,straight,sad,open
at33,straight,sad,sunglasses
at33,up,angry,open
at33,up,angry,sunglasses
at33,up,happy,open
at33,up,happy,sunglasses
at33,up,neutral,open
boland,straight,angry,open
boland,straight,angry,sunglasses
boland,straight,happy,open
boland,straight,happy,sunglasses
boland,straight,neutral,open
boland,straight,neutral,sunglasses
boland,straight,sad,open
boland,straight,sad,sunglasses
boland,up,angry,open
boland,up,happy,open
boland,up,neutral,open
boland,up,sad,open
bpm,straight,angry,open
bpm,straight,angry,sunglasses
bpm,straight,happy,open
bpm,straight,happy,sunglasses
bpm,straight,neutral,open
bpm,straight,neutral,sunglasses
bpm,straight,sad,open
bpm,straight,sad,sunglasses
bpm,up,happy,open
bpm,up,neutral,open
bpm,up,sad,open
ch4f,straight,angry,open
ch4f,straight,angry,sunglasses
ch4f,straight,happy,open
ch4f,straight,happy,sunglasses
ch4f,straight,neutral,open
ch4f,straight,neutral,sunglasses
ch4f,straight,sad,open
ch4f,straight,sad,sunglasses
ch4f,up,angry,open
ch4f,up,angry,sunglasses
ch4f,up,happy,open
ch4f,up,happy,sunglasses
ch4f,up,neutral,open
ch4f,up,neutral,sunglasses
ch4f,up,sad,open
ch4f,up,sad,sunglasses
cheyer,straight,angry,open
cheyer,straight,angry,sunglasses
cheyer,straight,happy,open
cheyer,straight,happy,sunglasses
cheyer,straight,neutral,open
cheyer,straight,neutral,sunglasses
cheyer,straight,sad,open
cheyer,straight,sad,sunglasses
cheyer,up,happy,open
cheyer,up,neutral,open
cheyer,up,sad,open
choon,straight,angry,open
choon,straight,angry,sunglasses
choon,straight,happy,open
choon,straight,happy,sunglasses
choon,straight,neutral,open
choon,straight,neutral,sunglasses
choon,straight,sad,open
choon,straight,sad,sunglasses
choon,up,angry,open
choon,up,happy,open
choon,up,happy,sunglasses
choon,up,neutral,open
choon,up,sad,open
danieln,straight,angry,open
danieln,straight,angry,sunglasses
danieln,straight,happy,open
danieln,straight,neutral,open
danieln,straight,neutral,sunglasses
danieln,straight,sad,open
danieln,straight,sad,sunglasses
danieln,up,neutral,open
glickman,straight,angry,sunglasses
glickman,straight,happy,open
glickman,straight,happy,sunglasses
glickman,straight,neutral,open
glickman,straight,neutral,sunglasses
glickman,straight,sad,open
glickman,straight,sad,sunglasses
glickman,up,angry,open
glickman,up,happy,open
glickman,up,neutral,open
glickman,up,sad,open
karyadi,straight,angry,open
karyadi,straight,angry,sunglasses
karyadi,straight,happy,open
karyadi,straight,happy,sunglasses
karyadi,straight,neutral,open
karyadi,straight,neutral,sunglasses
karyadi,straight,sad,open
karyadi,straight,sad,sunglasses
karyadi,up,angry,open
karyadi,up,happy,open
karyadi,up,neutral,open
karyadi,up,sad,open
